temperature_2m_mean,wind_speed_10m_max,wind_direction_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration,month,month_sin,month_cos
8.8845,17.902534,152.22655,1.23,0.24754046,2,0.8660254037844386,0.5000000000000001
8.297,8.891344,162.09195,19.58,2.542056,5,0.49999999999999994,-0.8660254037844387
13.467832,15.876775,139.23415,6.92,0.9491282,10,-0.8660254037844386,0.5000000000000001
2.7159169,8.350138,86.41056,3.24,0.33273748,12,-2.4492935982947064e-16,1.0
6.359501,17.106628,95.158966,0.54,0.1703564,12,-2.4492935982947064e-16,1.0
3.2740834,14.471821,78.67595,1.26,0.4683657,12,-2.4492935982947064e-16,1.0
14.430332,10.661107,174.88884,18.24,2.9560473,6,1.2246467991473532e-16,-1.0
16.692833,9.585739,173.38934,23.29,4.143454,7,-0.4999999999999997,-0.8660254037844388
4.9761667,10.931203,66.37063,5.16,0.7803292,2,0.8660254037844386,0.5000000000000001
15.788663,10.823973,173.97943,13.67,2.46439,7,-0.4999999999999997,-0.8660254037844388
19.132582,12.313893,292.91284,27.29,4.599657,7,-0.4999999999999997,-0.8660254037844388
0.36783338,19.914215,37.952824,5.36,1.4069558,12,-2.4492935982947064e-16,1.0
-6.7363334,6.297428,69.78966,3.69,0.3206389,12,-2.4492935982947064e-16,1.0
19.217833,11.304229,184.09525,28.17,5.0479527,7,-0.4999999999999997,-0.8660254037844388
20.024084,11.165805,200.11786,23.03,4.147863,8,-0.8660254037844384,-0.5000000000000004
8.330334,9.826088,210.31322,21.5,2.7478187,4,0.8660254037844387,-0.4999999999999998
3.422,11.304229,53.013157,7.19,0.7913485,1,0.49999999999999994,0.8660254037844387
3.2532501,11.165805,163.23181,3.99,0.42112753,1,0.49999999999999994,0.8660254037844387
7.2136664,26.141552,123.378426,2.52,0.40649813,1,0.49999999999999994,0.8660254037844387
12.047165,16.75064,109.80856,16.59,2.5579157,5,0.49999999999999994,-0.8660254037844387
5.730333,9.387651,133.85107,17.41,2.0893466,4,0.8660254037844387,-0.4999999999999998
17.976332,15.876775,213.85097,27.82,4.759861,7,-0.4999999999999997,-0.8660254037844388
4.5261664,16.071491,97.16431,1.68,0.31767088,1,0.49999999999999994,0.8660254037844387
10.601167,8.225035,228.60858,21.72,2.9585066,5,0.49999999999999994,-0.8660254037844387
20.936752,14.830076,135.15204,22.19,4.1915545,8,-0.8660254037844384,-0.5000000000000004
14.838668,16.179985,211.30794,10.58,1.7052419,9,-1.0,-1.8369701987210297e-16
11.617832,11.384198,23.785059,13.21,2.5562518,4,0.8660254037844387,-0.4999999999999998
16.1345,13.441071,155.38748,10.72,1.6632233,9,-1.0,-1.8369701987210297e-16
7.905499,17.654686,350.35565,10.39,1.452302,3,1.0,6.123233995736766e-17
21.519918,8.587338,191.02544,24.51,4.4167957,8,-0.8660254037844384,-0.5000000000000004
5.67425,11.91812,82.76662,5.06,0.9628407,3,1.0,6.123233995736766e-17
12.909497,12.181624,189.37404,19.7,2.8503063,6,1.2246467991473532e-16,-1.0
5.709501,11.988594,68.62932,3.75,0.4057305,1,0.49999999999999994,0.8660254037844387
18.786749,16.394829,131.91508,11.53,2.140765,8,-0.8660254037844384,-0.5000000000000004
10.024084,21.288757,201.53247,1.14,0.3510591,11,-0.5000000000000004,0.8660254037844384
16.432415,8.473393,131.88907,25.33,4.2244225,7,-0.4999999999999997,-0.8660254037844388
8.3595,12.031756,92.42748,2.92,0.48002335,10,-0.8660254037844386,0.5000000000000001
7.8303337,15.683776,152.48021,11.27,1.3900318,3,1.0,6.123233995736766e-17
13.690749,10.661107,121.337616,11.21,1.8114505,9,-1.0,-1.8369701987210297e-16
13.061748,12.245293,260.8604,23.64,3.4288764,6,1.2246467991473532e-16,-1.0
15.788669,7.208994,218.23383,25.28,3.9658806,7,-0.4999999999999997,-0.8660254037844388
4.542833,16.09969,210.05804,1.92,0.23211145,12,-2.4492935982947064e-16,1.0
20.505333,10.829959,294.92572,23.25,4.2354684,8,-0.8660254037844384,-0.5000000000000004
20.720081,14.20062,299.7335,26.34,4.5106997,8,-0.8660254037844384,-0.5000000000000004
23.217833,12.522619,239.2159,30.32,5.9657187,7,-0.4999999999999997,-0.8660254037844388
5.313667,17.28,152.47318,1.53,0.38761443,12,-2.4492935982947064e-16,1.0
12.482415,10.182337,163.10277,19.59,2.8898077,5,0.49999999999999994,-0.8660254037844387
7.249083,26.739542,184.44873,3.49,0.8193665,10,-0.8660254037844386,0.5000000000000001
10.844917,14.20062,204.41801,14.46,2.3338854,9,-1.0,-1.8369701987210297e-16
5.513666,10.630672,3.6960795,6.75,0.71987325,11,-0.5000000000000004,0.8660254037844384
20.36783,10.883676,195.1812,25.47,4.4238777,6,1.2246467991473532e-16,-1.0
6.905333,10.883676,63.282757,2.94,0.45853448,3,1.0,6.123233995736766e-17
7.24075,31.293089,195.17741,0.55,0.18905352,12,-2.4492935982947064e-16,1.0
22.151169,7.2805495,228.58821,26.19,4.920319,8,-0.8660254037844384,-0.5000000000000004
14.611583,12.819235,177.89746,20.29,3.0339818,6,1.2246467991473532e-16,-1.0
6.297167,17.068707,317.5562,2.44,0.26683044,12,-2.4492935982947064e-16,1.0
2.2990832,14.799459,127.52137,4.23,0.46810168,1,0.49999999999999994,0.8660254037844387
13.394916,10.1887,335.84998,16.3,2.445092,9,-1.0,-1.8369701987210297e-16
18.442835,10.483357,217.47621,24.62,4.2563615,8,-0.8660254037844384,-0.5000000000000004
9.317833,12.984975,217.82735,10.2,1.3643454,10,-0.8660254037844386,0.5000000000000001
